,Apellido,Nombre,Instituto,Tipo,Titulo,Resumen,Cargo,Prefijo,CHOP,WL,Pregen
1,Acosta Garz\'on,E. Andrey,Liceos del Ej\'ercito Nacional,"C - Educaci\'on, Divulgaci\'on y Herencia",LA ASTRONOM\'IA Y EL CURR\'ICULO PARA LA EDUCACI\'ON B\'ASICA Y MEDIA,"El objetivo es hacer un an\'alisis de los lineamientos curriculares del MinEducaci\'on para la educ. b\'asica y media en cuanto a la ense\~nanza de la Astronom\'ia y mostrar los resultados de una estrategia exitosa de la aplicaci\'on de estos al curr\'iculo de los Liceos del Ej\'ercito a trav\'es de la Astronom\'ia. Esta experiencia de m\'as de tres a\~nos, ha sido compartida p\'ublicamente como una alternativa de divulgaci\'on e impulso de la ense\~nanza de la Astronom\'ia en la educaci\'on b\'asica y media",Divulgador,Sr., Poster,0,o
2,Agreda,Ernesto,Universidad Nacional de Colombia,F - Sistemas Planetarios y Bioastronom\'ia,MODELO SEMI ANAL\'ITICO PARA LA FORMACI\'ON DE SISTEMAS PLANETARIOS,"El problema de la formaci\'on de planetas es de una enorme complejidad. Durante los \'ultimos 18 a\~nos, se ha avanzado con un ritmo cada vez mayor en la adquisici\'on de datos y en el desarrollo de los modelos que permitan describir de manera m\'as precisa, la poblaci\'on de planetas extrasolares. En este trabajo se revisa la manera en que se integran todos los diferentes procesos f\'isicos en el modelo semianal\'itico de formaci\'on de planetas de Y. Miguel (2011) y se propone estudiar c\'omo la tasa de formaci\'on de distintas poblaciones de planetas es afectada por las condiciones iniciales del disco protoplanetario primordial. Para lograr esto, utilizamos un modelo para el perfil de densidad del disco basado en observaciones recientes de discos transicionales realizadas con ALMA.",Estudiante de Maestr\'ia,Sr., Poster,0,o
3,Aguilar V\'asquez,Mayelin Stefania,Universidad Militar Nueva Granada,"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos",IMPLEMENTACI\'ON DE UN LABORATORIO DE ASTROF\'ISICA EN LA UNIVERSIDAD MILITAR PARA ESTUDIAR LAS RADIOFRECUENCIAS DEL SOL,"Para las universidades de Colombia, apenas est\'a naciendo la radioastronom\'ia y algunos de los que desarrollan estos trabajos son: la Universidad de los Andes, por el profesor Mauricio Vinasco, bas\'andose en el manual del Radio Jove para construir el radiotelescopio con un tipo de antena diferente, tambi\'en est\'a el grupo Alfa Ori\'on en la Universidad Tecnol\'ogica de Pereira, manejando en una de sus l\'ineas de investigaci\'on la Radioastronom\'ia, dirigida por el Ingeniero Edwin Andr\'es Quintero, la cual utiliza el radiotelescopio Radio Jove como herramienta de observaci\'on, al igual que ASASAC. Se ve el caso del proyecto Ariam en Cartagena, quienes manejan un radiotelescopio de cinco metros importado desde Francia, y cuyo dispositivo se tambi\'en esta ubicado en los Alpes Franceses. Otras universidades tambi\'en realizan investigaciones en radioastronom\'ia como la Universidad Sergio Arboleda en Bogot\'a, y la Universidad de Antioquia en Medell\'in. La Universidad Militar Nueva Granda tambi\'en puede ser part\'icipe en el desarrollo y divulgaci\'on de esta ciencia en el pa\'is, junto con las dem\'as universidades y grupos de astronom\'ia ya mencionados. Para ello se propone instalar un radiotelescopio, el prop\'osito de este proyecto consta de tres etapas, donde se ira modificando el dispositivo para recibir ondas de radio mucho m\'as d\'ebiles, de cuerpos celestes lejanos con distancias astron\'omicas, permitiendo que las investigaciones sean cada vez m\'as precisas haciendo que evolucione el campo de la radioastronom\'ia en la Instituci\'on y logre un impacto positivo tanto a nivel nacional como internacional.",Estudiante de Pregrado,Sra., Poster,0,a
4,Amado Pi\~neros,Nicol\'as,Universidad Nacional de Colombia,G - Estrellas y F\'isica Estelar,Estudio de pertenencia en la nube LND 1588,"Se presentan los resultados preliminares de un estudio de pertenencia realizado en la regi\'on de formaci\'on estelar LND 1588 localizada dentro del anillo del frente de onda de una supernova presente en la regi\'on de Lambda-Ori. A partir de observaciones fotom\'etricas y espectrosc\'opicas realizadas con el telescopio MDM y el instrumento OSMOS, el presente estudio incluye la aplicaci\'on de dos criterios independientes de pertenencia: un an\'alisis fotom\'etrico en los 3 filtros \'opticos V, R e I adem\'as de cuidadoso an\'alisis cinem\'atico teniendo los movimientos propios . Este proyecto constituye la primera fase de la colaboraci\'on, la cual pretende realizar un censo y una caracterizaci\'on en el infrarojo del estado de los discos de acreci\'on protoplanetarios en estrellas pertenecientes a la nube LND1588 y su posible relaci\'on con el frente de onda de la supernova en menci\'on.",Estudiante de Maestr\'ia,Sr.,a Conferencia,1,o
5,Arias Callejas,Veronica,Universidad de los Andes,I - Galaxias y Cosmolog\'ia,Planos de galaxias sat\'elite: un estudio din\'amico,"La evidencia de la anisotrop\'ia en la distribuci\'on de las galaxias sat\'elite se ha incrementado en los \'ultimos a\~nos con las observaciones de estructuras planares en la V\'ia L\'actea, Andr\'omeda y Centauros A. Adicionalmente, estudios de las velocidades de los sat\'elites en la V\'ia L\'actea y en Andr\'omeda indican que las estructuras planares tienen una coherencia din\'amica. En el marco del modelo de materia oscura fr\'ia, durante el proceso de formaci\'on de galaxias surgen alineaciones y direcciones preferenciales de acreci\'on de los sat\'elites, pero estos fen\'omenos son insuficientes para explicar la poca dispersi\'on del plano de Andr\'omeda que es de menos de 15 kpc. En nuestro trabajo nos enfocamos en el dicho plano y, por medio de simulaciones num\'ericas basadas en los datos observacionales, reconstruimos posibles \'orbitas de las galaxias sat\'elite. Estas reconstrucciones sugieren que la coherencia din\'amica observada podr\'ia ser el resultado de que las galaxias sat\'elites tienen \'orbitas similares.",Postdoc,Dra.,a Conferencia,1,a
6,Arias Ca\~n\'on,Juan Carlos,Asociaci\'on Colombiana Para el Avance de la Ciencia ,"C - Educaci\'on, Divulgaci\'on y Herencia",Educaci\'on y Astronom\'ia en el a\~no internacional de la luz,"En los \'ultmos a\~nos ha tomado un papel preponderante la implementaci\'on de el estudio de la astronom\'ia a nivel educativo y divulgativo, en el a\~no internacional de la luz existen programas y proyectos en diferentes instituciones educativas que incentivan el aprendizaje de la ciencia a trav\'es de la astronom\'ia en escolares. En la actualidad existen muchos recursos did\'acticos, tecnol\'ogicos y experimentales que acercan al mundo de la astronom\'ia en la celebraci\'on del a\~no internacional de la luz.",Profesor de Colegio,Sr., Poster,0,o
7,Ariza Guzm\'an,Juanita de los \'Angeles,Jornadas de Paz y Dignidad,"C - Educaci\'on, Divulgaci\'on y Herencia",Red Astron\'omica Global,"Red Astron\'omica Global: https://www.facebook.com/groups/astroglobalnet/
Hace m\'as de 4 a\~nos inici\'e este grupo de divulgaci\'on de la astronom\'ia en internet, del cual espero crear una fundaci\'on que lleve el mismo nombre cuya misi\'on ser\'a la divulgaci\'on cient\'ifica y la colaboraci\'on internacional para el avance de la astronom\'ia en el mundo. 
Estoy interesada en vincularme a esta gran familia para poner al servicio de todos esta herramienta, dar a conocer mi experiencia en el proceso de conformaci\'on de la misma, y poderme formar en tan importante espacio para continuar estructurando este prop\'osito personal para la evoluci\'on social a trav\'es de la divulgaci\'on de la astronom\'ia. 
Adicionalmente, soy estudiante de Fotograf\'ia y tengo un gran inter\'es en la astrofotograf\'ia y en el estudio de la astroarqueolog\'ia y las cosmovisiones ind\'igenas. Gracias por su atenci\'on.",Divulgador,Sra., Poster,0,a
8,Avenda\~no Ram\'irez,Ronald Jamith,Universidad Nacional de Colombia,G - Estrellas y F\'isica Estelar,Velocidad de rotaci\'on de 6 estrellas Herbig Ae/Be.,"Se presentan los resultados preliminares de medidas de velocidad radial helioc\'entrica y de rotaci\'on en seis estrellas pertenecientes a las regiones de formaci\'on estelar Ori\'on OB1bc y OB1a. Dichas estrellas han sido clasificadas previamente como del tipo Herbig Ae/Be a trav\'es de un estudio de fotometr\'ia infrarroja realizado por Hern\'andez et al.2005. Los espectros con resoluci\'on R=67000 se obtuvieron con el espectr\'ografo FIES en el NOT durante enero de 2014. La reducci\'on de los espectros se realiz\'o con el programa FIEStools y las medidas de velocidad radial y de rotaci\'on empleando la t\'ecnica de correlaci\'on cruzada entre el espectro de ciencia y el de una estrella de referencia lentamente rotante de tipo espectral similar, observada con la misma instrumentaci\'on. Los valores de velocidad ecuatorial proyectada se encuentran en el intervalo esperado para estrellas j\'ovenes de masa intermedia. En particular la mitad de las estrellas consideradas presentan velocidades inferiores a 100 km/s.",Estudiante de Maestr\'ia,Sr., Poster,0,o
9,Baella Pajuelo,Nobar Octavio,Instituto Geof\'isico del Per\'u,G - Estrellas y F\'isica Estelar,B\'usqueda de Estrellas Simbi\'oticas Amarillas Tipo-S en nuestra Galaxia,"El n\'umero de estrellas simbi\'oticas observadas es mucho menor que las obtenidas por los modelos de formaci\'on y evoluci\'on de sistemas binarios.
En el presente trabajo iniciamos una b\'usqueda de un tipo especial de estrellas simbi\'oticas: Simbi\'oticas Amarillas Tipo-S (SATS). Usamos como punto de partida una muestra inicial de SATS ya conocida. La posici\'on especial de aquella muestra de SATS en el Diagrama Color-Color (J-H) vs (H-Ks) del Cat\'alogo 2MASS y las propiedades particulares de este tipo de objetos (por ejemplo, la presencia de la l\'inea de emisi\'on H-alfa) fueron el punto de partida principal para iniciar una b\'usqueda de objetos candidatos a SATS en 10 cat\'alogos de la literatura.
Uno de los principales resultados de nuestro trabajo fue la generaci\'on de una lista de objetos candidatos a SATS y la posterior confirmaci\'on observacional de uno de ellos.",Investigador Cient\'ifico Asociado,Dr., Poster,0,o
10,Barbosa Urbano,Janett,Universidad ECCI,"C - Educaci\'on, Divulgaci\'on y Herencia",\'OPTICA ADAPTATIVA EN EL OBSERVATORIO KECK,"La \'optica adaptativa es una novedosa t\'ecnica que usa espejos deformables que pueden controlarse por computador y en tiempo real, permitiendo corregir en microsegundos, aquellas distorsiones producidas por las turbulencias de la atm\'osfera. Cuando un frente de ondas plano llegado del espacio de una estrella real, atraviesa la atm\'osfera, pero es distorsionado. La correcci\'on por \'optica adaptativa se utiliza para compensar los tiempos de llegada del frente de ondas de luz y obtener una imagen m\'as n\'itida y precisa. Para ello, se crea una –estrella artificial gu\'ia”, al lanzar un l\'aser color naranja a la mesosfera, excitando los \'atomos de sodio, propios de la capa; el resultado es la emisi\'on de luz simulando una estrella distante. Los defectos que puede tener la se\~nal observada se corrigen. Esta ponencia muestra una visi\'on general y b\'asica de los conceptos involucrados en la \'optica adaptativa, con base en experimentos logrados en el Observatorio W. M. Keck.",Profesor - Investigador,Sra., Poster,0,a
